O52086.25,H52122.65,L52047.40,C52104.90
O52098.30,H52128.30,L52080.00,C52110.10
O52112.50,H52165.65,L52059.65,C52155.65
O52155.45,H52159.20,L52086.35,C52131.15
O52128.30,H52173.05,L52116.90,C52141.90
O52140.60,H52183.70,L52120.60,C52150.70
O52149.65,H52165.30,L52103.70,C52162.60
O52164.15,H52212.00,L52151.90,C52165.25
O52156.00,H52178.65,L52125.70,C52131.20
O52129.90,H52162.65,L52103.85,C52147.95
O52152.05,H52167.40,L52115.40,C52135.60
O52138.15,H52264.30,L52138.15,C52257.35
O52260.75,H52285.95,L52239.00,C52248.30
O52251.70,H52251.70,L52166.95,C52192.90
O52190.20,H52209.65,L52155.20,C52174.15
O52171.30,H52185.60,L52128.65,C52174.65
O52173.90,H52174.05,L52094.40,C52105.85
O52440.40,H52482.20,L52288.70,C52454.90
O52455.75,H52470.00,L52256.35,C52399.25
O52402.45,H52402.70,L52301.80,C52395.05
O52400.55,H52426.40,L52317.05,C52331.60
O52334.35,H52352.55,L52269.65,C52324.30
O52324.75,H52371.95,L52279.95,C52325.15
O52324.70,H52386.30,L52291.25,C52362.85
O52365.90,H52415.80,L52346.05,C52350.60
O52345.45,H52358.60,L52284.30,C52313.10
O52314.50,H52389.95,L52299.85,C52378.05
O52377.60,H52409.40,L52356.95,C52371.65
O52369.30,H52384.70,L52331.30,C52340.15
O52341.45,H52364.30,L52321.40,C52353.55
O52351.70,H52354.50,L52319.40,C52326.35
O52326.75,H52334.60,L52211.05,C52233.00
O52228.30,H52262.40,L52187.35,C52246.95
O52248.70,H52268.20,L52239.50,C52261.30
O52260.00,H52261.80,L52218.40,C52227.95
O52227.25,H52261.30,L52223.85,C52243.80
O52244.85,H52365.70,L52233.60,C52314.70
O52320.65,H52355.65,L52306.35,C52343.20
O52341.30,H52360.85,L52313.95,C52315.60
O52314.85,H52322.10,L52299.15,C52312.95
O52317.45,H52331.80,L52312.15,C52321.75
O52320.35,H52337.90,L52312.95,C52317.20
O52317.30,H52340.85,L52306.40,C52317.40
O52319.50,H52338.00,L52312.90,C52329.05
O52328.50,H52396.30,L52324.30,C52390.50
O52387.15,H52392.10,L52349.35,C52360.65
O52359.10,H52383.25,L52347.80,C52383.25
O52384.45,H52406.45,L52363.45,C52385.05
O52384.30,H52430.15,L52378.00,C52415.20
O52421.60,H52451.15,L52411.50,C52443.55
O52443.95,H52450.55,L52400.35,C52411.85
O52411.40,H52420.90,L52388.35,C52402.90
O52402.95,H52411.80,L52388.95,C52395.95
O52393.70,H52408.70,L52361.50,C52385.80
O52386.25,H52387.10,L52348.95,C52369.80
O52369.05,H52385.05,L52364.55,C52376.55
O52377.65,H52397.00,L52369.70,C52385.90
O52387.70,H52406.70,L52383.25,C52395.85
O52399.60,H52409.80,L52372.75,C52383.95
O52384.20,H52387.00,L52360.15,C52379.50
O52373.50,H52385.75,L52349.15,C52356.85
O52356.10,H52367.40,L52343.00,C52352.20
O52347.75,H52368.15,L52326.70,C52362.50
O52359.15,H52375.45,L52342.30,C52344.70
O52346.75,H52378.10,L52329.30,C52341.45
O52338.25,H52343.85,L52295.95,C52315.60
O52316.50,H52332.85,L52284.25,C52327.75
O52330.00,H52351.05,L52316.50,C52327.05
O52324.70,H52351.45,L52320.25,C52340.00
O52339.40,H52359.35,L52327.80,C52355.80
O52356.10,H52357.05,L52323.85,C52344.80
O52343.70,H52348.05,L52314.80,C52328.85
O52328.00,H52344.40,L52315.40,C52342.70
O52343.00,H52354.80,L52334.30,C52342.85
O52341.10,H52355.05,L52326.45,C52334.60
O52329.30,H52371.40,L52327.35,C52364.65
O52362.55,H52377.25,L52347.00,C52352.90
O52355.10,H52403.65,L52340.05,C52401.45
O52400.85,H52409.40,L52373.05,C52391.30
O52389.25,H52397.30,L52375.60,C52390.50
O52389.50,H52396.70,L52351.65,C52363.25
O52362.60,H52368.45,L52281.20,C52284.65
O52285.65,H52285.65,L52242.70,C52262.15
O52269.00,H52282.00,L52238.50,C52263.15
O52261.65,H52278.15,L52232.35,C52269.65
O52267.80,H52295.95,L52261.50,C52284.10
O52281.40,H52319.70,L52281.40,C52311.00
O52311.15,H52315.55,L52289.20,C52300.80
O52303.55,H52317.15,L52282.90,C52294.55
O52294.05,H52357.65,L52293.75,C52326.40
O52328.65,H52354.10,L52322.40,C52353.65
O52355.95,H52396.50,L52337.35,C52384.55
O52258.95,H52358.00,L52182.55,C52232.00
O52234.50,H52288.40,L52124.20,C52124.20
O52121.40,H52138.00,L52029.05,C52045.35
O52046.85,H52087.15,L52009.55,C52074.45
O52081.55,H52112.60,L52044.35,C52069.30
O52069.25,H52126.60,L52045.20,C52110.70
O52113.50,H52152.45,L52073.55,C52136.60
O52135.90,H52135.90,L52055.95,C52088.80
O52089.85,H52107.45,L51948.60,C51951.80
O51951.55,H51952.95,L51783.30,C51803.30
O51805.10,H51855.05,L51774.10,C51816.85
O51816.80,H51835.45,L51779.00,C51835.45
O51839.15,H51862.00,L51815.55,C51826.30
O51824.20,H51876.65,L51822.90,C51865.35
O51865.25,H51887.65,L51787.90,C51793.00
O51791.40,H51816.00,L51755.35,C51776.85
O51776.70,H51853.75,L51772.15,C51850.30
O51849.55,H51873.30,L51824.75,C51850.75
O51852.00,H51885.55,L51841.00,C51874.90
O51875.40,H51987.25,L51867.80,C51986.05
O51988.30,H52090.75,L51986.00,C52044.95
O52047.25,H52062.85,L51994.50,C52000.95
O52004.55,H52023.50,L51951.50,C51970.15
O51970.00,H51972.25,L51923.25,C51957.25
O51958.15,H51958.45,L51824.95,C51825.70
O51824.70,H51874.25,L51821.45,C51864.35
O51863.95,H51877.40,L51833.75,C51873.40
O51872.90,H51899.30,L51844.30,C51858.40
O51856.40,H51888.40,L51848.05,C51865.15
O51865.35,H51896.10,L51862.80,C51867.05
O51865.60,H51868.80,L51837.80,C51850.35
O51849.40,H51884.50,L51844.50,C51863.65
O51861.80,H51862.65,L51821.30,C51830.05
O51827.95,H51837.00,L51775.95,C51789.25
O51790.30,H51841.75,L51785.10,C51834.35
O51836.80,H51897.45,L51825.45,C51869.30
O51870.80,H51887.10,L51824.65,C51835.30
O51835.80,H51883.80,L51826.85,C51881.90
O51882.40,H51949.85,L51882.40,C51939.40
O51939.45,H51977.30,L51921.85,C51922.10
O51926.55,H51968.40,L51923.40,C51955.95
O51957.30,H52004.70,L51952.15,C51975.70
O51975.55,H51991.85,L51961.05,C51972.35
O51974.20,H51996.00,L51946.80,C51955.15
O51956.95,H51965.60,L51934.70,C51958.80
O51958.70,H51992.40,L51958.70,C51980.70
O51988.75,H52008.10,L51973.65,C51991.70
O51992.40,H52062.65,L51989.85,C52061.05
O52061.90,H52063.10,L51978.20,C51998.55
O51999.60,H51999.60,L51949.00,C51952.55
O51952.95,H51965.60,L51921.15,C51921.60
O51924.00,H51941.85,L51907.20,C51917.65
O51919.00,H51931.25,L51901.65,C51923.90
O51923.85,H51934.60,L51853.10,C51857.70
O51860.75,H51907.40,L51855.10,C51891.00
O51890.30,H51914.45,L51881.95,C51895.90
O51897.40,H51917.80,L51891.05,C51904.35
O51904.25,H51925.20,L51879.65,C51914.50
O51916.70,H51927.60,L51898.25,C51907.35
O51909.20,H51954.60,L51905.80,C51948.45
O51950.80,H51967.25,L51935.00,C51942.15
O51945.25,H51947.90,L51897.05,C51898.80
O51897.20,H51922.65,L51880.15,C51909.85
O51910.65,H51913.70,L51865.05,C51870.60
O51872.50,H51895.45,L51862.65,C51883.80
O51885.25,H51890.75,L51865.50,C51883.20
O51883.75,H51890.55,L51862.75,C51881.35
O51882.75,H51897.80,L51858.90,C51864.40
O51864.55,H51952.65,L51862.65,C51930.80
O51936.90,H51977.50,L51921.60,C51937.80
O51937.75,H51948.55,L51903.60,C51914.65
O51913.30,H51921.35,L51886.80,C51894.45
O51893.60,H51941.20,L51891.30,C51931.80
O51932.80,H51934.10,L51894.70,C51910.50
O51911.10,H51924.70,L51868.95,C51891.90
O51869.15,H51874.75,L51611.65,C51686.25
O51685.60,H51689.65,L51609.75,C51644.40
O51645.60,H51859.50,L51645.20,C51830.45
O51826.40,H51921.65,L51778.05,C51876.55
O51879.25,H51899.00,L51782.85,C51792.00
O51793.05,H51887.80,L51770.10,C51819.30
O51822.10,H52004.15,L51819.10,C51938.65
O51937.50,H51941.60,L51720.80,C51776.45
O51776.75,H51810.95,L51742.05,C51794.90
O51801.50,H51815.65,L51731.75,C51755.50
O51752.25,H51808.75,L51719.90,C51805.90
O51806.45,H51862.15,L51780.25,C51826.45
O51825.35,H51832.65,L51784.10,C51809.05
O51807.70,H51850.95,L51804.00,C51832.85
O51834.00,H51853.20,L51769.05,C51773.00
O51773.10,H51793.15,L51737.30,C51739.15
O51739.65,H51752.70,L51704.60,C51732.40
O51733.85,H51755.25,L51653.30,C51657.95
O51661.40,H51666.35,L51560.00,C51602.35
O51601.45,H51652.65,L51596.95,C51623.00
O51621.95,H51650.40,L51608.15,C51645.55
O51644.70,H51656.90,L51604.20,C51625.90
O51625.30,H51644.20,L51592.30,C51616.85
O51615.55,H51680.75,L51610.35,C51669.45
O51668.60,H51683.25,L51631.45,C51666.25
O51666.55,H51677.10,L51626.45,C51636.45
O51631.85,H51641.80,L51616.00,C51630.35
O51628.80,H51660.25,L51616.50,C51654.35
O51654.20,H51681.80,L51641.35,C51663.35
O51662.05,H51677.75,L51648.55,C51672.00
O51671.65,H51671.65,L51629.35,C51636.25
O51636.10,H51637.20,L51583.60,C51596.90
O51597.30,H51602.55,L51510.65,C51522.80
O51524.50,H51547.00,L51504.90,C51535.25
O51535.60,H51551.75,L51495.40,C51520.85
O51523.30,H51567.20,L51513.25,C51550.80
O51550.00,H51620.05,L51542.95,C51588.55
O51586.95,H51593.30,L51565.25,C51581.85
O51583.55,H51616.25,L51576.85,C51594.00
O51594.75,H51663.55,L51583.55,C51654.50
O51660.30,H51689.65,L51639.20,C51651.20
O51656.05,H51659.90,L51628.85,C51653.05
O51657.00,H51665.30,L51616.10,C51627.30
O51626.70,H51637.35,L51596.00,C51628.20
O51631.10,H51657.25,L51613.95,C51656.50
O51656.35,H51659.60,L51620.35,C51642.65
O51648.15,H51676.90,L51632.90,C51662.75
O51661.10,H51730.40,L51658.50,C51724.10
O51725.80,H51741.45,L51690.65,C51712.80
O51713.45,H51830.55,L51706.45,C51811.20
O51807.70,H51862.15,L51785.15,C51803.30
O51802.75,H51838.70,L51785.55,C51803.15
O51803.70,H51852.60,L51760.00,C51850.20
O51847.35,H51849.95,L51751.00,C51795.85
O51795.55,H51819.65,L51778.95,C51785.95
O51792.30,H51824.60,L51740.20,C51766.70
O51766.40,H51772.60,L51657.35,C51715.60
O51710.90,H51736.10,L51677.15,C51729.10
O51726.70,H51747.60,L51683.55,C51686.50
O51690.95,H51700.45,L51606.80,C51631.35
O51630.65,H51639.20,L51542.35,C51546.75
O51546.45,H51582.95,L51532.45,C51561.00
O51558.40,H51597.75,L51545.75,C51576.10
O51576.45,H51578.85,L51505.85,C51513.70
O51510.95,H51552.15,L51505.00,C51540.75
O51540.80,H51673.75,L51536.40,C51644.05
O51644.60,H51652.65,L51583.75,C51622.45
O51622.30,H51639.50,L51597.60,C51620.60
O51620.05,H51665.60,L51619.30,C51644.50
O51644.60,H51652.75,L51533.25,C51541.80
O51541.25,H51586.45,L51523.80,C51576.75
O51581.00,H51581.00,L51542.15,C51550.70
O51552.65,H51585.40,L51550.90,C51565.65
O51566.85,H51586.35,L51533.45,C51548.65
O51551.15,H51551.75,L51501.80,C51532.15
O51562.70,H51564.95,L51316.70,C51350.30
O51349.60,H51461.25,L51295.15,C51364.80
O51367.00,H51493.25,L51367.00,C51463.85
O51462.30,H51604.40,L51450.60,C51578.55
O51574.10,H51624.50,L51472.80,C51478.65
O51479.45,H51540.05,L51404.00,C51520.40
O51522.10,H51625.00,L51502.60,C51583.60
O51586.25,H51609.85,L51535.45,C51598.75
O51600.20,H51673.30,L51559.85,C51624.00
O51618.75,H51636.80,L51524.00,C51545.60
O51546.20,H51591.35,L51510.55,C51578.60
O51578.30,H51582.35,L51533.85,C51545.95
O51545.30,H51577.85,L51522.35,C51531.30
O51532.80,H51591.15,L51531.50,C51584.55
O51584.10,H51756.45,L51575.40,C51746.90
O51748.80,H51836.50,L51740.00,C51802.55
O51805.55,H51935.20,L51800.10,C51889.15
O51887.45,H51921.15,L51835.20,C51867.15
O51861.75,H51905.35,L51836.70,C51871.85
O51871.90,H51914.20,L51848.90,C51905.40
O51905.35,H52016.95,L51904.95,C52016.95
O52017.85,H52023.30,L51955.05,C51988.05
O51985.20,H51997.15,L51936.65,C51978.75
O51979.30,H52103.15,L51977.35,C52103.15
O52098.25,H52163.15,L52098.25,C52135.25
O52137.30,H52146.05,L52085.30,C52123.20
O52124.05,H52170.35,L52060.90,C52138.20
O52137.65,H52150.15,L52103.45,C52145.90
O52145.40,H52154.10,L52105.75,C52116.60
O52112.65,H52176.90,L52111.15,C52169.70
O52168.90,H52174.10,L52117.55,C52126.80
O52128.25,H52139.20,L52092.10,C52110.35
O52110.65,H52127.00,L52092.70,C52110.60
O52111.40,H52135.45,L52070.50,C52112.15
O52113.15,H52116.20,L52065.45,C52075.45
O52075.25,H52092.10,L52042.95,C52091.20
O52091.55,H52109.50,L52028.75,C52030.55
O52031.05,H52031.30,L51963.50,C51996.00
O51994.65,H52028.05,L51974.85,C52019.00
O52021.05,H52075.85,L52021.05,C52044.55
O52044.35,H52098.40,L52042.25,C52075.10
O52072.50,H52075.95,L52030.00,C52040.15
O52040.80,H52069.55,L52020.10,C52022.25
O52021.65,H52045.85,L52005.65,C52025.35
