Timestamp,Open,High,Low,Close,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16
01-01-2023 09:15,48203.45,48282.35,48134.9,48152.95,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:20,48157.45,48192.4,48141.7,48185.8,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:25,48185.7,48200.6,48176.8,48184.25,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:30,48183.45,48230.8,48166.8,48226.2,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:35,48227.45,48262.9,48204.85,48204.85,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:40,48201.9,48224.55,48189.2,48207.55,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:45,48208.6,48234.05,48184.85,48229.4,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:50,48227.55,48306.3,48221.3,48294.45,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 09:55,48296.25,48318.95,48262.4,48292.25,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 10:00,48293.35,48309.2,48273.95,48276.9,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 10:05,48280.75,48291.35,48235.55,48268.2,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
01-01-2023 10:10,48268.65,48272.2,48243.35,48250.5,48089.69,48019.31,47962.43,47905.55,47824.57,47721.42,47608.14,47423.52,48317.21,48387.59,48444.47,48501.35,48582.33,48685.48,48798.76,48983.38
