
51950.00,51990.00,51751.00,51805.20
51800.00,51814.40,51700.00,51700.00
51690.00,51748.30,51655.00,51660.50
51663.20,51744.95,51599.55,51617.30
51608.45,51666.85,51600.00,51613.65
51622.35,51685.00,51612.70,51633.00
51631.35,51638.45,51580.85,51618.00
51620.15,51664.60,51584.05,51610.55
51615.25,51710.30,51593.75,51707.10
51706.50,51724.00,51633.25,51633.25
51637.85,51639.75,51591.50,51595.00
51600.00,51613.90,51531.45,51565.75
51566.15,51600.00,51541.75,51581.15
51589.95,51614.40,51564.65,51598.15
51596.95,51614.00,51561.80,51576.65
51577.00,51633.00,51560.00,51563.90
51563.55,51584.85,51516.25,51521.60
51522.25,51548.95,51513.10,51545.00
51538.90,51571.95,51511.65,51527.35
51521.00,51527.10,51484.10,51490.00
51497.75,51500.00,51458.10,51462.85
51465.00,51480.00,51450.90,51455.90
51453.65,51480.00,51405.80,51419.85
51413.00,51419.85,51293.30,51348.00
51336.45,51380.65,51300.00,51349.10
51349.95,51404.10,51338.90,51373.20
51370.05,51436.00,51370.00,51378.00
51378.70,51393.10,51336.05,51340.30
51342.80,51369.55,51323.00,51331.00
51335.25,51357.05,51301.05,51333.25
51339.40,51353.95,51300.00,51304.95
51304.75,51347.45,51302.70,51326.10
51326.30,51344.80,51310.05,51330.00
51330.05,51416.00,51330.05,51415.95
51410.00,51443.55,51361.65,51362.00
51361.65,51388.50,51327.20,51327.20
51328.55,51364.70,51301.65,51322.95
51322.40,51362.35,51322.35,51326.40
51326.00,51357.75,51322.95,51342.00
51338.10,51377.35,51333.05,51361.15
51366.75,51387.95,51349.45,51349.45
51362.40,51397.80,51345.00,51373.05
51380.05,51392.10,51342.50,51348.85
51347.60,51360.00,51331.00,51340.00
51337.05,51343.85,51320.00,51320.00
51320.10,51373.30,51320.10,51369.50
51369.00,51399.95,51355.00,51399.95
51400.95,51425.00,51374.50,51418.90
51421.00,51432.10,51371.30,51380.05
51384.05,51399.65,51381.00,51383.70
51381.10,51418.25,51380.00,51385.20
51401.85,51425.00,51385.35,51406.05
51410.00,51448.45,51400.45,51429.75
51429.80,51479.40,51418.40,51426.45
51439.20,51477.75,51425.10,51470.05
51462.00,51488.50,51431.10,51437.10
51440.00,51483.95,51411.05,51483.95
51480.05,51499.80,51466.65,51490.00
51490.80,51514.80,51449.60,51509.90
51500.55,51525.00,51489.55,51519.70
51504.00,51550.00,51477.50,51480.55
51480.00,51527.15,51475.00,51482.20
51483.75,51512.50,51450.00,51475.00
51478.60,51500.00,51473.05,51485.40
51484.80,51518.00,51477.10,51511.00
51516.75,51528.10,51477.00,51480.10
51479.60,51549.00,51479.60,51544.55
51547.25,51549.00,51525.00,51527.50
51536.95,51540.00,51491.05,51524.85
51525.00,51597.75,51503.90,51533.75
51546.65,51565.00,51512.25,51565.00
51557.40,51569.15,51540.00,51557.15
51560.00,51569.90,51522.00,51559.05
51559.85,51560.00,51548.00,51555.00
51551.50,51560.00,51535.55,51540.00
