O52320.00,H52350.00,L52270.25,C52317.45
O52317.50,H52332.95,L52300.05,C52320.95
O52320.00,H52372.40,L52269.80,C52351.20
O52351.75,H52363.20,L52301.00,C52328.30
O52329.65,H52370.00,L52322.65,C52347.45
O52346.60,H52389.00,L52335.10,C52360.90
O52363.50,H52372.95,L52305.10,C52371.50
O52374.65,H52408.75,L52355.20,C52355.20
O52356.65,H52394.45,L52342.25,C52356.40
O52351.35,H52367.20,L52327.20,C52363.65
O52356.15,H52375.00,L52336.10,C52359.35
O52363.80,H52450.00,L52350.05,C52440.55
O52444.00,H52465.80,L52422.90,C52445.00
O52435.00,H52448.00,L52368.00,C52390.00
O52382.15,H52397.95,L52350.15,C52357.00
O52355.05,H52385.70,L52325.40,C52373.95
O52374.60,H52374.60,L52333.00,C52333.00==============================
O52580.00,H52733.00,L52550.05,C52710.00
O52713.00,H52720.00,L52520.00,C52657.45
O52646.80,H52658.95,L52568.05,C52658.05
O52658.00,H52677.40,L52565.00,C52575.00
O52578.20,H52588.00,L52515.05,C52569.45
O52565.75,H52616.40,L52520.05,C52554.40
O52553.00,H52637.65,L52534.25,C52609.55
O52604.70,H52660.00,L52590.00,C52610.20
O52610.00,H52610.05,L52535.40,C52558.40
O52560.00,H52639.95,L52555.65,C52625.00
O52627.85,H52655.00,L52605.40,C52620.00
O52623.60,H52635.00,L52585.10,C52590.10
O52594.00,H52625.00,L52572.65,C52623.35
O52622.90,H52622.90,L52577.60,C52577.60
O52583.75,H52595.90,L52457.75,C52470.00
O52481.45,H52515.95,L52437.50,C52504.95
O52497.00,H52509.95,L52476.25,C52495.00
O52490.05,H52500.00,L52460.00,C52476.95
O52463.30,H52495.00,L52460.00,C52470.60
O52472.60,H52605.10,L52470.55,C52567.00
O52581.15,H52590.00,L52555.00,C52574.75
O52578.00,H52597.20,L52555.00,C52560.00
O52555.00,H52560.00,L52534.00,C52550.00
O52546.40,H52577.70,L52542.30,C52549.60
O52549.15,H52577.70,L52545.05,C52565.90
O52555.30,H52580.00,L52550.05,C52565.60
O52556.70,H52580.00,L52553.45,C52577.95
O52570.00,H52647.30,L52565.05,C52642.90
O52630.15,H52642.95,L52593.45,C52600.50
O52600.10,H52620.00,L52600.00,C52620.00
O52617.80,H52654.65,L52609.90,C52617.85
O52624.25,H52678.00,L52620.25,C52672.00
O52671.30,H52700.00,L52664.80,C52693.00
O52695.65,H52706.90,L52667.90,C52671.30
O52676.60,H52694.80,L52650.30,C52676.00
O52679.95,H52680.00,L52641.50,C52650.00
O52644.95,H52665.00,L52611.10,C52644.00
O52635.20,H52645.00,L52600.00,C52617.05
O52627.00,H52645.00,L52614.05,C52631.00
O52641.95,H52655.00,L52625.35,C52655.00
O52656.95,H52671.00,L52650.25,C52660.00
O52660.05,H52674.00,L52628.60,C52645.00
O52646.95,H52646.95,L52616.50,C52629.95
O52630.00,H52645.00,L52611.00,C52615.00
O52617.00,H52632.90,L52605.05,C52618.00
