Date,Time,Open,High,Low,Close,Volume
05-11-2024,09:15:00,51325,51614.85,51325,51595.25,1
05-11-2024,09:20:00,51584.85,51599,51464.25,51553.15,1
05-11-2024,09:25:00,51549.8,51589.3,51500,51506.4,1
05-11-2024,09:30:00,51495.75,51588,51482.85,51517.7,1
05-11-2024,09:35:00,51512.25,51520.85,51400.55,51421.1,1
05-11-2024,09:40:00,51432.35,51457.5,51402,51455,1
05-11-2024,09:45:00,51450.9,51484.9,51427,51458.1,1
05-11-2024,09:50:00,51453.3,51499.9,51400.9,51459.9,1
05-11-2024,09:55:00,51450.2,51529.6,51449.6,51471.15,1
05-11-2024,10:00:00,51480,51582.15,51442,51530,1
05-11-2024,10:05:00,51535,51562,51494,51562,1
05-11-2024,10:10:00,51565,51576.75,51520.3,51536,1
05-11-2024,10:15:00,51521.9,51545.95,51490.05,51508.65,1
05-11-2024,10:20:00,51514.05,51569,51512.9,51567.95,1
05-11-2024,10:25:00,51568.75,51760.6,51555.4,51727.05,1
05-11-2024,10:30:00,51747.75,51757,51551.6,51601.9,1
05-11-2024,10:35:00,51594.25,51594.25,51372.5,51446.85,1
05-11-2024,10:40:00,51449.85,51485,51425.9,51426.2,1
05-11-2024,10:45:00,51436.25,51509,51418,51505,1
05-11-2024,10:50:00,51509.95,51559.85,51471,51476.1,1
05-11-2024,10:55:00,51475,51491.85,51420.2,51460.9,1
05-11-2024,11:00:00,51450.8,51490,51432.55,51455,1
05-11-2024,11:05:00,51456.2,51511.55,51452.25,51508.5,1
05-11-2024,11:10:00,51518.9,51582.1,51499.4,51557,1
05-11-2024,11:15:00,51563.6,51600,51516.65,51534.05,1
05-11-2024,11:20:00,51533.15,51549.95,51475,51493.75,1
05-11-2024,11:25:00,51487.2,51497.6,51445.25,51455,1
05-11-2024,11:30:00,51448.65,51504.9,51426,51478.85,1
05-11-2024,11:35:00,51489,51504.9,51405,51405,1
05-11-2024,11:40:00,51387.45,51418.5,51225.15,51280,1
05-11-2024,11:45:00,51289.8,51333,51250,51310.05,1
05-11-2024,11:50:00,51301,51343.9,51285.05,51329.9,1
05-11-2024,11:55:00,51324.95,51422,51304.55,51366.7,1
05-11-2024,12:00:00,51366.65,51418,51301.5,51418,1
05-11-2024,12:05:00,51405.3,51487.95,51371.7,51457.3,1
05-11-2024,12:10:00,51448.05,51459,51330,51382.9,1
05-11-2024,12:15:00,51371.55,51436.8,51351.35,51415,1
05-11-2024,12:20:00,51412.15,51420.8,51306.45,51310,1
05-11-2024,12:25:00,51308.5,51359.65,51295,51332.6,1
05-11-2024,12:30:00,51342.75,51366.65,51329.05,51347.35,1
05-11-2024,12:35:00,51351.15,51421,51332.3,51404.5,1
05-11-2024,12:40:00,51388.1,51426.65,51380,51416.9,1
05-11-2024,12:45:00,51407.9,51480,51401.05,51455.1,1
05-11-2024,12:50:00,51458.95,51554.65,51427.1,51475.45,1
05-11-2024,12:55:00,51468.3,51470.6,51410.2,51442.35,1
05-11-2024,13:00:00,51437.65,51486,51423.05,51474.75,1
05-11-2024,13:05:00,51465,51473.75,51354.65,51359.4,1
05-11-2024,13:10:00,51358.2,51455.8,51350.05,51435,1
05-11-2024,13:15:00,51454.8,51480.5,51422.05,51446.9,1
05-11-2024,13:20:00,51446.85,51649.85,51423.05,51640,1
05-11-2024,13:25:00,51639.05,51924.75,51601.05,51913.3,1
05-11-2024,13:30:00,51916.4,52109.7,51916.4,52014.2,1
05-11-2024,13:35:00,52020.05,52028.65,51950,51950,1
05-11-2024,13:40:00,51956,52023.95,51943.1,52018.55,1
05-11-2024,13:45:00,52020,52090,52000.25,52038.8,1
05-11-2024,13:50:00,52039,52124.95,52020,52074.45,1
05-11-2024,13:55:00,52067,52200,52067,52190.3,1
05-11-2024,14:00:00,52185.35,52325,52161.55,52317.8,1
05-11-2024,14:05:00,52320,52350,52270.25,52317.45,1
05-11-2024,14:10:00,52317.5,52332.95,52300.05,52320.95,1
05-11-2024,14:15:00,52320,52372.4,52269.8,52351.2,1
05-11-2024,14:20:00,52351.75,52363.2,52301,52328.3,1
05-11-2024,14:25:00,52329.65,52370,52322.65,52347.45,1
05-11-2024,14:30:00,52346.6,52389,52335.1,52360.9,1
05-11-2024,14:35:00,52363.5,52372.95,52305.1,52371.5,1
05-11-2024,14:40:00,52374.65,52408.75,52355.2,52355.2,1
05-11-2024,14:45:00,52356.65,52394.45,52342.25,52356.4,1
05-11-2024,14:50:00,52351.35,52367.2,52327.2,52363.65,1
05-11-2024,14:55:00,52356.15,52375,52336.1,52359.35,1
05-11-2024,15:00:00,52363.8,52450,52350.05,52440.55,1
05-11-2024,15:05:00,52444,52465.8,52422.9,52445,1
05-11-2024,15:10:00,52435,52448,52368,52390,1
05-11-2024,15:15:00,52382.15,52397.95,52350.15,52357,1
05-11-2024,15:20:00,52355.05,52385.7,52325.4,52373.95,1
05-11-2024,15:25:00,52374.6,52374.6,52333,52333,1
